"Date","Symbol","Marketcapname","Sector"
"16-09-2026 2:40 pm","BEML","Midcap","Aerospace & Defence"
"16-09-2026 2:40 pm","GODREJIND","Largecap","Chemicals"
"16-09-2026 2:40 pm","PATANJALI","Largecap","FMCG"
"16-09-2026 2:40 pm","TATACOMM","Largecap","Telecom-Service"
"16-09-2026 2:40 pm","VTL","Midcap","Textiles"
"16-09-2026 2:40 pm","REDINGTON","Largecap","Services"
"16-09-2026 2:40 pm","ECLERX","Midcap","I.T"
"16-09-2026 2:40 pm","BRIGADE","Largecap","Realty"
"16-09-2026 2:40 pm","TEGA","Midcap","Industrials"
"16-09-2026 2:40 pm","ABDL","Midcap","FMCG"
"16-09-2026 2:45 pm","BEML","Midcap","Aerospace & Defence"
"16-09-2026 2:45 pm","GODREJIND","Largecap","Chemicals"
"16-09-2026 2:45 pm","PATANJALI","Largecap","FMCG"
"16-09-2026 2:45 pm","TATACOMM","Largecap","Telecom-Service"
"16-09-2026 2:45 pm","VTL","Midcap","Textiles"
"16-09-2026 2:45 pm","REDINGTON","Largecap","Services"
"16-09-2026 2:45 pm","ECLERX","Midcap","I.T"
"16-09-2026 2:45 pm","BRIGADE","Largecap","Realty"
"16-09-2026 2:45 pm","TEGA","Midcap","Industrials"
"16-09-2026 2:45 pm","ABDL","Midcap","FMCG"
"16-09-2026 2:50 pm","BEML","Midcap","Aerospace & Defence"
"16-09-2026 2:50 pm","GODREJIND","Largecap","Chemicals"
"16-09-2026 2:50 pm","PATANJALI","Largecap","FMCG"
"16-09-2026 2:50 pm","TATACOMM","Largecap","Telecom-Service"
"16-09-2026 2:50 pm","VTL","Midcap","Textiles"
"16-09-2026 2:50 pm","REDINGTON","Largecap","Services"
"16-09-2026 2:50 pm","ECLERX","Midcap","I.T"
"16-09-2026 2:50 pm","BRIGADE","Largecap","Realty"
"16-09-2026 2:50 pm","TEGA","Midcap","Industrials"
"16-09-2026 2:50 pm","ABDL","Midcap","FMCG"
"16-09-2026 2:55 pm","BEML","Midcap","Aerospace & Defence"
"16-09-2026 2:55 pm","GODREJIND","Largecap","Chemicals"
"16-09-2026 2:55 pm","PATANJALI","Largecap","FMCG"
"16-09-2026 2:55 pm","TATACOMM","Largecap","Telecom-Service"
"16-09-2026 2:55 pm","VTL","Midcap","Textiles"
"16-09-2026 2:55 pm","REDINGTON","Largecap","Services"
"16-09-2026 2:55 pm","ECLERX","Midcap","I.T"
"16-09-2026 2:55 pm","BRIGADE","Largecap","Realty"
"16-09-2026 2:55 pm","ABDL","Midcap","FMCG"
"16-09-2026 3:00 pm","BEML","Midcap","Aerospace & Defence"
"16-09-2026 3:00 pm","GODREJIND","Largecap","Chemicals"
"16-09-2026 3:00 pm","PATANJALI","Largecap","FMCG"
"16-09-2026 3:00 pm","TATACOMM","Largecap","Telecom-Service"
"16-09-2026 3:00 pm","VTL","Midcap","Textiles"
"16-09-2026 3:00 pm","REDINGTON","Largecap","Services"
"16-09-2026 3:00 pm","ECLERX","Midcap","I.T"
"16-09-2026 3:00 pm","BRIGADE","Largecap","Realty"
"16-09-2026 3:00 pm","ABDL","Midcap","FMCG"
"16-09-2026 3:05 pm","BEML","Midcap","Aerospace & Defence"
"16-09-2026 3:05 pm","FINCABLES","Largecap","Industrials"
"16-09-2026 3:05 pm","GODREJIND","Largecap","Chemicals"
