"Date","Symbol","Marketcapname","Sector"
"28-01-2026","BEL","Largecap","Aerospace & Defence"
"28-01-2026","HINDALCO","Largecap","Metals & Mining"
"28-01-2026","HINDCOPPER","Largecap","Metals & Mining"
"28-01-2026","NATIONALUM","Largecap","Metals & Mining"
"28-01-2026","HCLTECH","Largecap","I.T"
"28-01-2026","JINDALSTEL","Largecap","Metals & Mining"
"28-01-2026","OIL","Largecap","Energy"
"28-01-2026","COALINDIA","Largecap","Metals & Mining"
"28-01-2026","ZENTEC","Midcap","Aerospace & Defence"
"28-01-2026","SCHNEIDER","Largecap","Industrials"
"28-01-2026","TMCV","Largecap","Auto"
"28-01-2026","ICICIAMC","Largecap","Financials"
"29-01-2026","HINDCOPPER","Largecap","Metals & Mining"
"29-01-2026","AXISBANK","Largecap","Bank"
"29-01-2026","NATIONALUM","Largecap","Metals & Mining"
"29-01-2026","JINDALSTEL","Largecap","Metals & Mining"
"29-01-2026","ECLERX","Midcap","I.T"
"29-01-2026","OIL","Largecap","Energy"
"29-01-2026","INDUSTOWER","Largecap","Telecom"
"29-01-2026","ICICIAMC","Largecap","Financials"
"30-01-2026","RAMCOCEM","Largecap","Building Materials"
"30-01-2026","NESTLEIND","Largecap","FMCG"
"30-01-2026","DEEPAKNTR","Largecap","Chemicals"
"30-01-2026","CANFINHOME","Midcap","Financials"
"30-01-2026","CCL","Midcap","FMCG"
"30-01-2026","AUROPHARMA","Largecap","Healthcare"
"30-01-2026","TORNTPOWER","Largecap","Power & Utilities"
"30-01-2026","ZENTEC","Midcap","Aerospace & Defence"
"30-01-2026","RHIM","Midcap","Building Materials"
"30-01-2026","COCHINSHIP","Largecap","Aerospace & Defence"
"30-01-2026","GICRE","Largecap","Financials"
"30-01-2026","CREDITACC","Largecap","Financials"
"30-01-2026","GRSE","Largecap","Aerospace & Defence"
"30-01-2026","GLAND","Largecap","Healthcare"
"30-01-2026","STARHEALTH","Largecap","Financials"
"30-01-2026","DATAPATTNS","Largecap","Aerospace & Defence"
"30-01-2026","DELHIVERY","Largecap","Transportation"
"30-01-2026","THELEELA","Midcap","Services"
"30-01-2026","LENSKART","Largecap","FMCG"
"30-01-2026","ICICIAMC","Largecap","Financials"
"01-02-2026","VTL","Midcap","Textiles"
"01-02-2026","LALPATHLAB","Largecap","Healthcare"
"02-02-2026","SBIN","Largecap","Bank"
"02-02-2026","NESTLEIND","Largecap","FMCG"
"02-02-2026","SARDAEN","Midcap","Metals & Mining"
"02-02-2026","DEEPAKNTR","Largecap","Chemicals"
"02-02-2026","NATIONALUM","Largecap","Metals & Mining"
"02-02-2026","JINDALSTEL","Largecap","Metals & Mining"
"02-02-2026","NTPC","Largecap","Power & Utilities"
"02-02-2026","CIEINDIA","Midcap","Industrials"
"02-02-2026","ECLERX","Midcap","I.T"
"02-02-2026","DALBHARAT","Largecap","Building Materials"
"02-02-2026","HDFCAMC","Largecap","Financials"
"02-02-2026","GLAND","Largecap","Healthcare"
"02-02-2026","SONACOMS","Largecap","Auto"
"02-02-2026","ACUTAAS","Largecap","Healthcare"
"02-02-2026","LATENTVIEW","Midcap","I.T"
"02-02-2026","PREMIERENE","Largecap","Services"
"02-02-2026","WAAREEENER","Largecap","Industrials"
"03-02-2026","SARDAEN","Midcap","Metals & Mining"
"03-02-2026","ADANIENT","Largecap","Services"
"03-02-2026","ADANIPORTS","Largecap","Transportation"
"03-02-2026","CHALET","Midcap","Services"
"03-02-2026","THELEELA","Midcap","Services"
"04-02-2026","BLUESTARCO","Largecap","Consumer Discretionary"
"04-02-2026","CHENNPETRO","Largecap","Energy"
"04-02-2026","RAMCOCEM","Largecap","Building Materials"
"04-02-2026","BPCL","Largecap","Energy"
"04-02-2026","BALKRISIND","Largecap","Auto"
"04-02-2026","SARDAEN","Midcap","Metals & Mining"
"04-02-2026","GABRIEL","Largecap","Auto"
"04-02-2026","AARTIIND","Midcap","Chemicals"
"04-02-2026","PFC","Largecap","Financials"
"04-02-2026","PGEL","Midcap","Consumer Discretionary"
"04-02-2026","APLAPOLLO","Largecap","Industrials"
"04-02-2026","TIINDIA","Largecap","Industrials"
"04-02-2026","CPPLUS","Largecap","Consumer Discretionary"
"05-02-2026","BALKRISIND","Largecap","Auto"
"05-02-2026","WELCORP","Largecap","Industrials"
"05-02-2026","GALLANTT","Midcap","Metals & Mining"
"05-02-2026","ANURAS","Midcap","Chemicals"
"06-02-2026","GODFRYPHLP","Largecap","FMCG"
"06-02-2026","BALKRISIND","Largecap","Auto"
"06-02-2026","ASAHIINDIA","Largecap","Building Materials"
"06-02-2026","ACE","Midcap","Industrials"
"06-02-2026","SCHNEIDER","Largecap","Industrials"
"06-02-2026","LALPATHLAB","Largecap","Healthcare"
"06-02-2026","MGL","Midcap","Energy"
"06-02-2026","DATAPATTNS","Largecap","Aerospace & Defence"
"06-02-2026","LICI","Largecap","Financials"
"06-02-2026","CONCORDBIO","Midcap","Healthcare"
"06-02-2026","ENRIN","Largecap","Power & Utilities"
"09-02-2026","AEGISLOG","Largecap","Services"
"09-02-2026","CHAMBLFERT","Midcap","Chemicals"
"09-02-2026","SBIN","Largecap","Bank"
"09-02-2026","DRREDDY","Largecap","Healthcare"
"09-02-2026","RAMCOCEM","Largecap","Building Materials"
"09-02-2026","VTL","Midcap","Textiles"
"09-02-2026","SARDAEN","Midcap","Metals & Mining"
"09-02-2026","ELECON","Midcap","Industrials"
"09-02-2026","DEEPAKNTR","Largecap","Chemicals"
"09-02-2026","CARBORUNIV","Largecap","Industrials"
"09-02-2026","AARTIIND","Midcap","Chemicals"
"09-02-2026","ZYDUSLIFE","Largecap","Healthcare"
"09-02-2026","UNITDSPR","Largecap","FMCG"
"09-02-2026","RHIM","Midcap","Building Materials"
"09-02-2026","MGL","Midcap","Energy"
"09-02-2026","GRSE","Largecap","Aerospace & Defence"
"09-02-2026","TECHNOE","Midcap","Realty"
"09-02-2026","BIKAJI","Midcap","FMCG"
"09-02-2026","SAILIFE","Largecap","Healthcare"
"09-02-2026","ANTHEM","Largecap","Healthcare"
"09-02-2026","TENNIND","Largecap","Auto"
"10-02-2026","BALRAMCHIN","Midcap","FMCG"
"10-02-2026","CHAMBLFERT","Midcap","Chemicals"
"10-02-2026","FINCABLES","Largecap","Industrials"
"10-02-2026","GRAPHITE","Midcap","Industrials"
"10-02-2026","POONAWALLA","Largecap","Financials"
"10-02-2026","BSOFT","Midcap","I.T"
"10-02-2026","SUNTV","Midcap","Media"
"10-02-2026","CIEINDIA","Midcap","Industrials"
